E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),Target_Log1o2,SMILES_Meta
-386.11627,-386.036674,-385.834049,-5.640811523,4.166525828,-11.85001448,7.679624638,-2.1659175,2.756839963,-2.756839963,9.845542137,0.101568806,0.385966303,3.480390724,0.1196,0.1237,0.093,-0.0805,0.3305,0.3419,0.257,0.04775,0.41625,6.361727836,CC1=CC(=C(C=C1)O)C
-881.935946,-881.861133,-881.671328,-5.525652937,3.71293923,-9.387547295,7.200622606,-2.035765439,2.582414978,-2.582414978,9.236388045,0.108267509,0.361013461,3.59554931,0.0784,0.0926,0.075,-0.0612,0.231,0.2727,0.2208,0.03342,0.28197,5.643452676,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
-747.207083,-747.135196,-746.936505,-5.331826232,4.020264627,-11.43678237,7.362802468,-1.956144923,2.703315167,-2.703315167,9.318947391,0.107308315,0.392116076,3.789376014,0.1766,0.1205,0.1388,-0.112,0.5156,0.3517,0.4054,0.04723,0.66909,6.880813592,C1=CC(=CC=C1N)Cl
-536.520173,-536.428544,-536.252537,-5.290845885,4.462912247,-10.92349399,7.282719358,-2.493324899,2.394710835,-2.394710835,9.776071468,0.102290709,0.293284321,3.830356362,0.1224,0.1433,0.1222,-0.051,0.3406,0.3988,0.3401,0.04202,0.46867,7.556302501,COC1=C(C(=CC=C1)OC)O
-441.236399,-441.175965,-440.975542,-5.257702416,3.440607677,-10.75448407,7.098280582,-1.644492916,2.726880227,-2.726880227,8.742773498,0.11438006,0.425259544,3.863499831,0.1168,0.1078,0.0992,-0.0457,0.3634,0.3356,0.3088,0.04586,0.45114,8.897627091,C1=CC=C(C=C1)C2=CNC=C2
-7754.05924,-7754.053198,-7753.694063,-7.638916404,2.288504795,-13.78915229,9.936972395,-0.164438407,4.886266994,-4.886266994,10.1014108,0.098996096,1.181790505,1.482285843,0.3189,0.2862,0.3025,-0.0329,0.8589,0.7711,0.8149,0.33828,0.47263,3.230448921,C(Br)(Br)Br
-135.183217,-135.027672,-134.83856,-6.391274345,6.275136148,-15.53941586,9.378594749,-4.232595074,2.572999838,-2.572999838,13.61118982,0.073468951,0.243188159,2.729927902,0.375,0.1546,0.2456,-0.2589,0.7498,0.3091,0.491,0.0376,1.02383,7.380211242,CCN
-421.997835,-421.922852,-421.724056,-5.377078768,4.124701927,-11.56802289,7.449933326,-2.040391375,2.70475737,-2.70475737,9.49029749,0.105370707,0.385422075,3.744123479,0.1138,0.1292,0.1022,-0.0826,0.3262,0.3703,0.2929,0.04978,0.42597,7.35218,COC1=CC=C(C=C1)O
-2750.212097,-2750.204043,-2749.908695,-6.618380574,2.026622413,-10.73788513,8.25598901,-0.219187716,4.018414252,-4.018414252,8.475176726,0.11799171,0.952643421,2.502821673,0.2516,0.1343,0.1494,-0.2043,0.8077,0.4313,0.4797,0.12796,0.62964,6.278753601,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
-287.613641,-287.528,-287.334615,-5.42698445,4.454966522,-12.07758331,7.59271147,-2.330437541,2.63115057,-2.63115057,9.9231218,0.100774653,0.34882276,3.694217797,0.1611,0.126,0.1001,-0.1221,0.4418,0.3455,0.2744,0.04395,0.59521,9.301029996,C1=CC=C(C=C1)N
-1559.739993,-1559.705054,-1559.459972,-6.01823345,2.320124425,-9.706437531,7.619786799,-0.950738624,3.334510482,-3.334510482,8.570525423,0.116678951,0.648665025,3.102968796,0.0933,0.072,0.0826,-0.0489,0.2961,0.2287,0.2624,0.04672,0.2894,4.612783857,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
-670.349405,-670.292473,-670.085608,-5.326900972,3.111758074,-9.918767978,7.178282058,-1.549198642,2.814555314,-2.814555314,8.727480699,0.114580491,0.4538315,3.794301275,0.1053,0.0846,0.0888,-0.0711,0.3284,0.2639,0.2769,0.03841,0.39967,7.857332496,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O
-1454.127689,-1454.083096,-1453.843856,-6.033090867,2.905903937,-10.61902579,7.723462181,-1.213437347,3.255026023,-3.255026023,8.936899528,0.111895659,0.592772838,3.08811138,0.1485,0.1114,0.13,-0.0646,0.4523,0.3391,0.3957,0.06601,0.45872,5.462397998,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl
-399.720208,-399.687064,-399.402954,-6.581155398,2.919155882,-12.7417044,8.632921132,-0.901894186,3.865513473,-3.865513473,9.534788106,0.104878964,0.783551867,2.540046849,0.164,0.1735,0.1687,-0.054,0.468,0.4951,0.4815,0.13594,0.41649,5.90956,C1=CC(=CC=C1C#N)O
