ID,SMILES,log(1o2),E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),smiles_original,smiles_canonical_rdkit,smiles_kekule_rdkit,inchikey_rdkit,smiles_status,dup_count,is_duplicate
"3,4-Dihydroxyphenylalanine",C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,8.954242509,-705.25025,-705.187026,-704.972579,-5.681410912,3.47815939,-10.50359509,7.555785619,-1.720412684,2.917686467,-2.917686467,9.276198303,0.107802814,0.458865606,3.439791335,0.0892,0.095,0.0686,-0.062,0.2617,0.2787,0.2012,0.04359,0.30687,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C@@H](CC1=CC(O)=C(O)C=C1)C(=O)O,WTDRDQBEARUVNC-LURJTMIESA-N,OK,1,FALSE
3-Butenoic_acid,C=CCC(=O)O,3.602059991,-306.483866,-306.391884,-306.134203,-7.133927498,4.729284507,-13.0440229,9.514787738,-2.50295773,3.505915004,-3.505915004,12.01774547,0.083210241,0.511383582,1.987274749,0.1919,0.1579,0.1749,-0.034,0.4345,0.3576,0.396,0.08076,0.3813,C=CCC(=O)O,C=CCC(=O)O,C=CCC(=O)O,PVEOYINWKBTPIZ-UHFFFAOYSA-N,OK,1,FALSE
3-Chlorophenol,C1=CC(=CC(=C1)Cl)O,8.041392685,-767.071038,-767.00956,-766.762328,-6.305177518,3.747851439,-12.32052656,8.400427048,-1.672928815,3.363762722,-3.363762722,10.07335586,0.099271826,0.561615801,2.816024728,0.1673,0.1384,0.1529,-0.0769,0.452,0.3738,0.4129,0.07772,0.47116,C1=CC(=CC(=C1)Cl)O,Oc1cccc(Cl)c1,OC1=CC(Cl)=CC=C1,HORNXRXVQWOLPJ-UHFFFAOYSA-N,OK,1,FALSE
3-Cyanopyrrole,C1=CNC=C1C#N,7.531478917,-302.421908,-302.348609,-302.104231,-6.391165499,4.202553703,-13.00257996,8.64445876,-1.9945674,3.324932074,-3.324932074,10.63902616,0.093993631,0.519546998,2.730036748,0.1733,0.2025,0.1879,-0.081,0.4433,0.5178,0.4806,0.10519,0.4732,C1=CNC=C1C#N,N#Cc1cc[nH]c1,N#CC1=CNC=C1,PCYWMDGJYQAMCR-UHFFFAOYSA-N,OK,1,FALSE
3-Hexene,CCC=CCC,4.491361694,-235.867474,-235.760044,-235.546896,-6.414784982,4.97688091,-13.57951577,8.72337178,-2.923319224,2.900026278,-2.900026278,11.646691,0.08586141,0.361040673,2.706417265,0.1875,0.1644,0.1759,-0.023,0.438,0.3841,0.411,0.05936,0.50733,CCC=CCC,CCC=CCC,CCC=CCC,ZQDPJFUHLCOCRG-UHFFFAOYSA-N,OK,1,FALSE
3-Methoxyphenol,COC1=CC=CC(=C1)O,8.447158031,-422.000889,-421.918566,-421.713793,-5.752078882,4.306610044,-11.59082603,7.812280146,-2.24012295,2.786064992,-2.786064992,10.05243031,0.099478541,0.386075148,3.369123365,0.1356,0.1481,0.1142,-0.0633,0.3671,0.401,0.3091,0.05719,0.45686,COC1=CC=CC(=C1)O,COc1cccc(O)c1,COC1=CC=CC(O)=C1,ASHGTJPOSUFTGB-UHFFFAOYSA-N,OK,1,FALSE
3-Methyl-4-chlorophenol,CC1=C(C=CC(=C1)O)Cl,8.113943352,-806.39106,-806.327899,-806.096537,-5.994913292,3.724259167,-12.03796353,8.0143519,-1.718671155,3.147840372,-3.147840372,9.733050267,0.102742799,0.509043403,3.126288954,0.1923,0.1231,0.1439,-0.0969,0.5377,0.344,0.4022,0.06264,0.60125,CC1=C(C=CC(=C1)O)Cl,Cc1cc(O)ccc1Cl,CC1=C(Cl)C=CC(O)=C1,CFKMVGJGLGKFKI-UHFFFAOYSA-N,OK,1,FALSE
3-Methylindole,CC1=CNC2=CC=CC=C12,8.146128036,-403.146833,-403.079103,-402.882782,-5.255525505,3.73451786,-10.96145388,7.18519375,-1.84302719,2.671069674,-2.671069674,9.02822094,0.110763743,0.39513654,3.865676741,0.1072,0.1104,0.1031,-0.0563,0.3232,0.3327,0.3106,0.04362,0.41447,CC1=CNC2=CC=CC=C12,Cc1c[nH]c2ccccc12,CC1=CNC2=CC=CC=C12,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,OK,1,FALSE
3-Methylphenol,CC1=CC(=CC=C1)O,7.255272505,-346.79615,-346.718101,-346.500805,-5.88612217,4.176893366,-12.10898525,8.036774082,-2.123821485,2.956462693,-2.956462693,10.16059557,0.098419536,0.430130382,3.235080077,0.1417,0.1212,0.1044,-0.0926,0.3794,0.3245,0.2796,0.05211,0.45836,CC1=CC(=CC=C1)O,Cc1cccc(O)c1,CC1=CC(O)=CC=C1,RLSSMJSEOOYNOY-UHFFFAOYSA-N,OK,1,FALSE
3-Nitrophenol,C1=CC(=CC(=C1)O)[N+](=O)[O-],6.447158031,-511.977563,-511.987331,-511.648234,-6.823663272,1.88109592,-12.30771,8.96147141,0.265800821,4.613636115,-4.613636115,8.695670589,0.11499958,1.223913731,2.297538975,0.1452,0.1683,0.1165,-0.1067,0.4543,0.5265,0.3645,0.20593,0.33358,C1=CC(=CC(=C1)O)[N+](=O)[O-],O=[N+]([O-])c1cccc(O)c1,O=[N+]([O-])C1=CC(O)=CC=C1,RTZZCYNQPHTPPL-UHFFFAOYSA-N,OK,1,FALSE
